ENTOLLSTATIONHEX,EntryHour,EntryCount
37010458,5,9
37010458,6,26
37010458,7,69
37010458,8,81
37010458,9,73
37010458,10,82
37010458,11,48
37010458,12,59
37010458,13,66
37010458,14,65
37010458,15,65
37010458,16,73
37010458,17,88
37010458,18,54
37010458,19,39
37010458,20,15
37010458,21,15
37010458,22,27
37010458,23,6
37010461,10,1
37010461,13,3
37010461,17,1
37010462,0,238
37010462,1,218
37010462,2,194
37010462,3,240
37010462,4,288
37010462,5,448
37010462,6,816
37010462,7,1237
37010462,8,1426
37010462,9,1260
37010462,10,1386
37010462,11,1260
37010462,12,1094
37010462,13,1175
37010462,14,1380
37010462,15,1294
37010462,16,1590
37010462,17,1639
37010462,18,1087
37010462,19,887
37010462,20,752
37010462,21,671
37010462,22,550
37010462,23,359
37010463,0,19
37010463,1,30
37010463,2,36
37010463,3,23
37010463,4,34
37010463,5,116
37010463,6,233
37010463,7,294
37010463,8,407
37010463,9,483
37010463,10,485
37010463,11,404
37010463,12,444
37010463,13,429
37010463,14,506
37010463,15,704
37010463,16,720
37010463,17,946
37010463,18,360
37010463,19,178
37010463,20,139
37010463,21,167
37010463,22,76
37010463,23,50
37010464,0,38
37010464,1,33
37010464,2,23
37010464,3,24
37010464,4,56
37010464,5,125
37010464,6,337
37010464,7,541
37010464,8,651
37010464,9,636
37010464,10,592
37010464,11,509
37010464,12,457
37010464,13,569
37010464,14,683
37010464,15,772
37010464,16,837
37010464,17,884
37010464,18,480
37010464,19,228
37010464,20,199
37010464,21,124
37010464,22,85
37010464,23,65
37010471,0,17
37010471,1,16
37010471,2,14
37010471,3,28
37010471,4,66
37010471,5,230
37010471,6,371
37010471,7,367
37010471,8,375
37010471,9,373
37010471,10,231
37010471,11,189
37010471,12,230
37010471,13,255
37010471,14,311
37010471,15,292
37010471,16,313
37010471,17,303
37010471,18,198
37010471,19,158
37010471,20,90
37010471,21,73
37010471,22,59
37010471,23,34
37010472,0,20
37010472,1,17
37010472,2,24
37010472,3,12
37010472,4,28
37010472,5,98
37010472,6,152
37010472,7,189
37010472,8,234
37010472,9,206
37010472,10,200
37010472,11,171
37010472,12,193
37010472,13,206
37010472,14,252
37010472,15,224
37010472,16,258
37010472,17,258
37010472,18,125
37010472,19,83
37010472,20,61
37010472,21,59
37010472,22,52
37010472,23,14
37010473,0,41
37010473,1,35
37010473,2,25
37010473,3,25
37010473,4,81
37010473,5,266
37010473,6,381
37010473,7,429
37010473,8,583
37010473,9,471
37010473,10,425
37010473,11,304
37010473,12,296
37010473,13,385
37010473,14,482
37010473,15,447
37010473,16,391
37010473,17,360
37010473,18,232
37010473,19,186
37010473,20,156
37010473,21,133
37010473,22,97
37010473,23,68
37010482,0,25
37010482,1,20
37010482,2,21
37010482,3,24
37010482,4,24
37010482,5,47
37010482,6,63
37010482,7,109
37010482,8,156
37010482,9,182
37010482,10,188
37010482,11,160
37010482,12,159
37010482,13,200
37010482,14,210
37010482,15,185
37010482,16,241
37010482,17,370
37010482,18,255
37010482,19,132
37010482,20,79
37010482,21,63
37010482,22,46
37010482,23,29
37010483,0,10
37010483,1,6
37010483,2,7
37010483,3,5
37010483,4,15
37010483,5,21
37010483,6,72
37010483,7,97
37010483,8,97
37010483,9,144
37010483,10,115
37010483,11,89
37010483,12,67
37010483,13,116
37010483,14,107
37010483,15,89
37010483,16,116
37010483,17,92
37010483,18,116
37010483,19,66
37010483,20,42
37010483,21,28
37010483,22,18
37010483,23,10
37010484,0,8
37010484,1,11
37010484,2,6
37010484,3,10
37010484,4,22
37010484,5,93
37010484,6,159
37010484,7,186
37010484,8,271
37010484,9,275
37010484,10,213
37010484,11,146
37010484,12,163
37010484,13,175
37010484,14,198
37010484,15,184
37010484,16,180
37010484,17,183
37010484,18,136
37010484,19,86
37010484,20,69
37010484,21,52
37010484,22,30
37010484,23,24
37010485,0,24
37010485,1,6
37010485,2,23
37010485,3,20
37010485,4,39
37010485,5,74
37010485,6,298
37010485,7,372
37010485,8,501
37010485,9,518
37010485,10,386
37010485,11,334
37010485,12,349
37010485,13,497
37010485,14,440
37010485,15,433
37010485,16,400
37010485,17,556
37010485,18,245
37010485,19,162
37010485,20,137
37010485,21,106
37010485,22,81
37010485,23,54
37010811,8,3
37010811,9,1
37010811,11,1
37010811,13,1
37010811,14,2
37010811,18,1
37010813,0,153
37010813,1,115
37010813,2,121
37010813,3,142
37010813,4,190
37010813,5,374
37010813,6,724
37010813,7,857
37010813,8,976
37010813,9,969
37010813,10,873
37010813,11,828
37010813,12,892
37010813,13,973
37010813,14,1102
37010813,15,1098
37010813,16,1093
37010813,17,980
37010813,18,731
37010813,19,622
37010813,20,544
37010813,21,428
37010813,22,319
37010813,23,316
37010814,0,200
37010814,1,89
37010814,2,72
37010814,3,58
37010814,4,209
37010814,5,666
37010814,6,2117
37010814,7,7059
37010814,8,7134
37010814,9,4500
37010814,10,3522
37010814,11,2828
37010814,12,2904
37010814,13,3263
37010814,14,3518
37010814,15,3963
37010814,16,5598
37010814,17,7478
37010814,18,4829
37010814,19,2272
37010814,20,1414
37010814,21,1011
37010814,22,652
37010814,23,353
37010815,0,568
37010815,1,212
37010815,2,108
37010815,3,115
37010815,4,516
37010815,5,1566
37010815,6,3092
37010815,7,7829
37010815,8,8147
37010815,9,5390
37010815,10,4573
37010815,11,3744
37010815,12,3648
37010815,13,3800
37010815,14,4097
37010815,15,3970
37010815,16,4851
37010815,17,5149
37010815,18,3199
37010815,19,2627
37010815,20,1783
37010815,21,1282
37010815,22,1042
37010815,23,864
37010816,0,1768
37010816,1,905
37010816,2,73
37010816,3,42
37010816,4,202
37010816,5,999
37010816,6,1931
37010816,7,2323
37010816,8,2193
37010816,9,3230
37010816,10,3498
37010816,11,3350
37010816,12,4297
37010816,13,4277
37010816,14,3881
37010816,15,3713
37010816,16,6794
37010816,17,6090
37010816,18,5093
37010816,19,4227
37010816,20,3511
37010816,21,2504
37010816,22,1449
37010816,23,2427
37010817,0,61
37010817,1,50
37010817,2,47
37010817,3,69
37010817,4,72
37010817,5,274
37010817,6,518
37010817,7,502
37010817,8,613
37010817,9,610
37010817,10,620
37010817,11,554
37010817,12,641
37010817,13,637
37010817,14,736
37010817,15,759
37010817,16,871
37010817,17,1043
37010817,18,510
37010817,19,380
37010817,20,256
37010817,21,228
37010817,22,139
37010817,23,89
37010818,0,173
37010818,1,142
37010818,2,267
37010818,3,124
37010818,4,111
37010818,5,318
37010818,6,675
37010818,7,1113
37010818,8,1058
37010818,9,1010
37010818,10,1051
37010818,11,952
37010818,12,754
37010818,13,869
37010818,14,877
37010818,15,1084
37010818,16,1678
37010818,17,2413
37010818,18,1284
37010818,19,497
37010818,20,369
37010818,21,281
37010818,22,222
37010818,23,189
37010819,0,155
37010819,1,115
37010819,2,77
37010819,3,100
37010819,4,137
37010819,5,403
37010819,6,1037
37010819,7,2549
37010819,8,2578
37010819,9,1966
37010819,10,1677
37010819,11,1410
37010819,12,1416
37010819,13,1579
37010819,14,1518
37010819,15,1606
37010819,16,2083
37010819,17,2428
37010819,18,1620
37010819,19,941
37010819,20,664
37010819,21,427
37010819,22,296
37010819,23,245
37010821,0,65
37010821,1,54
37010821,2,44
37010821,3,52
37010821,4,126
37010821,5,309
37010821,6,771
37010821,7,1440
37010821,8,1424
37010821,9,1173
37010821,10,950
37010821,11,916
37010821,12,907
37010821,13,1100
37010821,14,1088
37010821,15,1144
37010821,16,1183
37010821,17,1186
37010821,18,735
37010821,19,404
37010821,20,281
37010821,21,238
37010821,22,123
37010821,23,85
37010822,0,70
37010822,1,52
37010822,2,31
37010822,3,72
37010822,4,147
37010822,5,354
37010822,6,789
37010822,7,1172
37010822,8,1396
37010822,9,1169
37010822,10,1036
37010822,11,956
37010822,12,928
37010822,13,1099
37010822,14,1165
37010822,15,1193
37010822,16,1203
37010822,17,1319
37010822,18,790
37010822,19,460
37010822,20,363
37010822,21,292
37010822,22,186
37010822,23,96
37010823,0,113
37010823,1,60
37010823,2,53
37010823,3,56
37010823,4,184
37010823,5,448
37010823,6,1077
37010823,7,2287
37010823,8,3142
37010823,9,2710
37010823,10,2067
37010823,11,1670
37010823,12,1651
37010823,13,2206
37010823,14,2197
37010823,15,2138
37010823,16,2093
37010823,17,1940
37010823,18,1128
37010823,19,853
37010823,20,754
37010823,21,572
37010823,22,305
37010823,23,213
37010824,0,91
37010824,1,84
37010824,2,58
37010824,3,98
37010824,4,177
37010824,5,359
37010824,6,826
37010824,7,1302
37010824,8,1593
37010824,9,1480
