EXTOLLSTATIONHEX,ExitHour,ExitCount
37010818,6,644
37010818,7,1982
37010818,8,2655
37010818,9,1486
37010818,10,1227
37010818,11,894
37010818,12,790
37010818,13,841
37010818,14,923
37010818,15,921
37010818,16,1112
37010818,17,1314
37010818,18,1020
37010818,19,658
37010818,20,484
37010818,21,393
37010818,22,249
37010818,23,181
37010819,0,181
37010819,1,143
37010819,2,76
37010819,3,53
37010819,4,70
37010819,5,238
37010819,6,816
37010819,7,2359
37010819,8,2666
37010819,9,1902
37010819,10,1747
37010819,11,1421
37010819,12,1393
37010819,13,1467
37010819,14,1670
37010819,15,1803
37010819,16,2235
37010819,17,3117
37010819,18,2680
37010819,19,1427
37010819,20,729
37010819,21,499
37010819,22,357
37010819,23,230
37010821,0,70
37010821,1,54
37010821,2,40
37010821,3,27
37010821,4,37
37010821,5,79
37010821,6,296
37010821,7,753
37010821,8,1092
37010821,9,1157
37010821,10,1092
37010821,11,1002
37010821,12,850
37010821,13,978
37010821,14,1034
37010821,15,1106
37010821,16,1303
37010821,17,1546
37010821,18,1011
37010821,19,563
37010821,20,437
37010821,21,347
37010821,22,242
37010821,23,159
37010822,0,113
37010822,1,85
37010822,2,53
37010822,3,74
37010822,4,76
37010822,5,143
37010822,6,370
37010822,7,889
37010822,8,901
37010822,9,1012
37010822,10,1096
37010822,11,1007
37010822,12,909
37010822,13,1018
37010822,14,1015
37010822,15,1041
37010822,16,1147
37010822,17,1296
37010822,18,980
37010822,19,596
37010822,20,440
37010822,21,335
37010822,22,294
37010822,23,138
37010823,0,168
37010823,1,118
37010823,2,89
37010823,3,76
37010823,4,67
37010823,5,132
37010823,6,433
37010823,7,1038
37010823,8,1401
37010823,9,1695
37010823,10,1832
37010823,11,1778
37010823,12,1562
37010823,13,1573
37010823,14,1838
37010823,15,2064
37010823,16,2323
37010823,17,2357
37010823,18,1796
37010823,19,1162
37010823,20,810
37010823,21,582
37010823,22,393
37010823,23,290
37010824,0,160
37010824,1,97
37010824,2,74
37010824,3,84
37010824,4,84
37010824,5,136
37010824,6,410
37010824,7,792
37010824,8,1095
37010824,9,1250
37010824,10,1323
37010824,11,1293
37010824,12,1146
37010824,13,1215
37010824,14,1402
37010824,15,1430
37010824,16,1552
37010824,17,1649
37010824,18,1206
37010824,19,774
37010824,20,595
37010824,21,450
37010824,22,297
37010824,23,235
37010825,0,107
37010825,1,74
37010825,2,39
37010825,3,44
37010825,4,35
37010825,5,103
37010825,6,252
37010825,7,631
37010825,8,838
37010825,9,1035
37010825,10,1093
37010825,11,991
37010825,12,885
37010825,13,894
37010825,14,990
37010825,15,1103
37010825,16,1244
37010825,17,1225
37010825,18,942
37010825,19,569
37010825,20,390
37010825,21,319
37010825,22,236
37010825,23,157
37010827,0,103
37010827,1,78
37010827,2,51
37010827,3,81
37010827,4,72
37010827,5,133
37010827,6,307
37010827,7,815
37010827,8,800
37010827,9,773
37010827,10,767
37010827,11,684
37010827,12,662
37010827,13,717
37010827,14,784
37010827,15,833
37010827,16,912
37010827,17,919
37010827,18,789
37010827,19,477
37010827,20,344
37010827,21,300
37010827,22,216
37010827,23,148
37010828,0,75
37010828,1,35
37010828,2,30
37010828,3,32
37010828,4,55
37010828,5,79
37010828,6,199
37010828,7,331
37010828,8,434
37010828,9,527
37010828,10,536
37010828,11,483
37010828,12,486
37010828,13,504
37010828,14,491
37010828,15,563
37010828,16,620
37010828,17,662
37010828,18,451
37010828,19,322
37010828,20,238
37010828,21,167
37010828,22,146
37010828,23,116
37010831,0,112
37010831,1,127
37010831,2,101
37010831,3,93
37010831,4,92
37010831,5,155
37010831,6,308
37010831,7,528
37010831,8,751
37010831,9,1006
37010831,10,1104
37010831,11,897
37010831,12,842
37010831,13,847
37010831,14,923
37010831,15,885
37010831,16,1014
37010831,17,870
37010831,18,710
37010831,19,516
37010831,20,415
37010831,21,362
37010831,22,271
37010831,23,202
37010833,0,117
37010833,1,111
37010833,2,93
37010833,3,78
37010833,4,68
37010833,5,136
37010833,6,230
37010833,7,436
37010833,8,664
37010833,9,836
37010833,10,875
37010833,11,728
37010833,12,673
37010833,13,641
37010833,14,742
37010833,15,797
37010833,16,789
37010833,17,790
37010833,18,610
37010833,19,409
37010833,20,339
37010833,21,243
37010833,22,186
37010833,23,145
37010834,0,39
37010834,1,38
37010834,2,37
37010834,3,23
37010834,4,44
37010834,5,73
37010834,6,113
37010834,7,200
37010834,8,347
37010834,9,472
37010834,10,481
37010834,11,470
37010834,12,400
37010834,13,431
37010834,14,485
37010834,15,568
37010834,16,629
37010834,17,704
37010834,18,520
37010834,19,307
37010834,20,211
37010834,21,164
37010834,22,114
37010834,23,61
37010835,0,82
37010835,1,67
37010835,2,48
37010835,3,61
37010835,4,68
37010835,5,110
37010835,6,275
37010835,7,756
37010835,8,1044
37010835,9,1169
