HEX,Downstream_HEX,Probability
3C0E04,3C310A,0.15584673604541155
3C0E04,3D311D,0.10123935666982024
3C0E05,3C0E06,0.9410578815615983
3C0E05,3D0E33,0.05894211843840171
3C0E06,3C0E07,0.9045237179134832
3C0E06,3D0E2B,0.09547628208651679
3C0E07,3C0D23,0.945103670427974
3C0E07,3D0E39,0.05489632957202596
3C0E1B,3C0D0F,1.0
3C0E2D,3D0E0C,0.5599864590385918
3C0E2D,3C0E04,0.44001354096140827
3C0E2F,3C0E06,0.622749542529957
3C0E2F,3D0E0A,0.3772504574700431
3C0E30,3C0E03,1.0
3C0E31,3D1012,0.6207680072710747
3C0E31,3C0E3B,0.37923199272892527
3C0E34,3C0D23,0.6034682919750399
3C0E34,3D0E08,0.3965317080249601
3C0E37,3D0E09,0.7169443571204024
3C0E37,3C0E07,0.2830556428795976
3C0E38,3C0E3C,0.6359243920569183
3C0E38,3D0E2E,0.36407560794308164
3C0E3B,3C0E3C,0.9389280602237184
3C0E3B,3D0E36,0.06107193977628161
3C0E3C,3D9C08,1.0
3C1001,3C1002,0.9542665923034022
3C1001,3C0304,0.0316741029931214
3C1001,3D0306,0.014059304703476482
3C1002,3C1003,0.7954693453411846
3C1002,3D1019,0.20453065465881537
3C1003,3C1004,0.8309708723050397
3C1003,3D101D,0.16902912769496026
3C1004,3C1005,0.8631272586829981
3C1004,3D1026,0.13687274131700186
3C1005,3C1006,0.8820711432581237
3C1005,3D671C,0.059524452121342976
3C1005,3C671E,0.058404404620533305
3C1006,3C100D,0.9005413556137836
3C1006,3D1024,0.09945864438621645
3C100D,3C100E,0.9564626196134247
3C100D,3D1022,0.04353738038657534
3C100E,3C100F,0.9436967249887842
3C100E,3D1020,0.05630327501121579
3C100F,3C1010,0.9562179342197674
3C100F,3C5001,0.0437820657802326
3C1010,3C1011,0.941136512695587
3C1010,3D101E,0.05886348730441301
3C1011,3C0E3B,0.951702287730601
3C1011,3D0E32,0.048297712269399086
3C1018,3C1004,0.5976544880469102
3C1018,3D100A,0.40234551195308976
3C101A,3D100B,0.6279514125835949
3C101A,3C1003,0.37204858741640506
3C101C,3C1001,0.6446158409967369
3C101C,3D121F,0.35538415900326314
